,ID,Parish,Ward,Precinct,Broussard,Hardy,Harrison,Matthieu_Robichaux,Total,Winner_num,Winner_name
0,City Council D-1,28,00,006,0,0,0,0,0,0,
1,City Council D-1,28,00,007,0,0,0,0,0,0,
2,City Council D-1,28,00,009,0,0,0,0,0,0,
3,City Council D-1,28,00,010,0,0,0,0,0,0,
4,City Council D-1,28,00,011,0,0,0,0,0,0,
5,City Council D-1,28,00,012,0,0,0,0,0,0,
6,City Council D-1,28,00,013,0,0,0,0,0,0,
7,City Council D-1,28,00,014,0,0,0,0,0,0,
8,City Council D-1,28,00,017,0,0,0,0,0,0,
9,City Council D-1,28,00,018,0,0,0,0,0,0,
10,City Council D-1,28,00,019,0,0,0,0,0,0,
11,City Council D-1,28,00,022,0,0,0,0,0,0,
12,City Council D-1,28,00,023,0,0,0,0,0,0,
13,City Council D-1,28,00,024,0,0,0,0,0,0,
14,City Council D-1,28,00,025,0,0,0,0,0,0,
15,City Council D-1,28,00,038,0,0,0,0,0,0,
16,City Council D-1,28,00,039,0,0,0,0,0,0,
17,City Council D-1,28,00,040,0,0,0,0,0,0,
18,City Council D-1,28,00,047,0,0,0,0,0,0,
19,City Council D-1,28,00,051,0,0,0,0,0,0,
20,City Council D-1,28,00,052,0,0,0,0,0,0,
21,City Council D-1,28,00,064,0,0,0,0,0,0,
22,City Council D-1,28,00,112,0,0,0,0,0,0,
23,City Council D-1,28,00,113,0,0,0,0,0,0,
24,City Council D-1,28,Early Voting,,0,0,0,0,0,0,
